English,Mon,Original_Definition
Zalacca wallichiana martin,လကံ,"1 လကမ် (n) a kind of palm yielding edible fruit, Zalacca wallichiana Martin, thorny, short-slemmed plant of the palm family, bearing scaly red, edible fruit. [id.] လ္ကံ(မ်)၊ တၞံလ္ကံ(မ်)။ [Syn.] တ္ကံ(မ်)၊ မရာၚ်ဇီု(မ်)။"
Zalacca wallichiana martin,လကမ်,"1 (n) a kind of palm yielding edible fruit, Zalacca wallichiana Martin, thorny, short-slemmed plant of the palm family, bearing scaly red, edible fruit. [id.] လ္ကံ(မ်)၊ တၞံလ္ကံ(မ်)။ [Syn.] တ္ကံ(မ်)၊ မရာၚ်ဇီု(မ်)။"
Zalacca wallichiana martin.  တ္ကံ၊ တၞံတ္ကံ။  မြာၚ်ဇီု  medium sized trees of flacuortia spp. bearing pulmlike fruit,တကံ,"တကမ် (n) a kind of palm yielding edible fruit, Zalacca wallichiana Martin. [id] တ္ကံ(မ်)၊ တၞံတ္ကံ(မ်)။ [Syn.] မြာၚ်ဇီု(မ်) [id] medium sized trees of Flacuortia spp. Bearing pulmlike fruit."
Zalacca wallichiana martin.  လ္ကံ၊ တၞံလ္ကံ။,မြာၚ်ဇီု,"(n) a kind of palm yielding edible fruit, Zalacca wallichiana Martin. [Syn.] လ္ကံ(မ်)၊ တၞံလ္ကံ(မ်)။"
Zanily,ကြံဟွံပေၚ်ဒ္ကေဝ်,"(adv) zanily, in a slightly unhinged manner."
Zanonia zehneria endlicher and alsomitra  sarcophylla wallich,အာ်,"(n) အိက်အာ် (n) a kind of creeper, Trichosanthes palmate, a kind of gourd, Zanonia zehneria Endlicher and Alsomitra {Zanonia} sarcophylla Wallich."
Zeal,ဂဇှ်ေ,"(n) care, zeal, thoroughness."
Zeal,ဒဒှ်မဇၞော်ကဵုစိုတ်,(n) zeal.
Zeal,လွဳပရာ,"(n) ardour, zeal, energy, diligence."
Zealous,မနွံကဵုစိုတ်ထတ်ထတ်သန်သန်,(adj) zealous.
Zealous   မနွံကဵုဓာတ်စိုတ်ထတ်ထတ်သန်သန်။  zealously   နဂဇှ်ေ၊  နဒဒှ်မနွံကဵုဓာတ်စိုတ်ထတ်ထတ်သန်သန်။,zeal,"n.  ဂဇှ်ေ၊  ဒဒှ်စိုတ်မထတ်၊  ပြဝမနွံကဵုဓာတ်စိုတ်ထတ်ထတ်၊  ဒဒှ်မဇၞော်ကဵုစိုတ်၊  လွဳပရာ။  zealot (n)  မၞိဟ်မနွံကဵုစိုတ်ထတ်သန်လောန်၊  မၞိဟ်ခံၚ်မွဲလ္ပာ်၊  မၞိဟ်ဗက်စမုက်, ကေတ်စမုက်မွဲလ္ပာ်။  zealous (adj)  မနွံကဵုဓာတ်စိုတ်ထတ်ထတ်သန်သန်။  zealously (adv)  နဂဇှ်ေ၊  နဒဒှ်မနွံကဵုဓာတ်စိုတ်ထတ်ထတ်သန်သန်။"
Zealously,ဂဇှ်ေ,နဂဇှ်ေ (adv) zealously.
Zealously.  နဒဒှ်မနွံကဵုဓါတ်စိုတ်ထတ်ထတ်သန်သန်။,နဂဇှ်ေ,(adv) zealously. [id] နဒဒှ်မနွံကဵုဓါတ်စိုတ်ထတ်ထတ်သန်သန်။
Zebra crossing,ပၞောန်တၞၚ်,"(n) zebra crossing, pedestrian crossing."
Zebra.  ချေံကၞၚ်။,ချေံဍာပ်,(n) zebra. [id] ချေံကၞၚ်။
Zephyr,ကျာက္ၜဳ,"(n) gentle breezes, zephyr."
Zero,သုည,"(n) [P.] emptiness, nothingness, {maths} cipher, zero, naught. [id.] သုန်။"
Zezyphus jujube lamarck.  ဗ္ဒဝ်။    ဗ္ဒဝ်ကြုက်  litchi,ဗဒဝ်,"1 (n) {Skt/P. Badara} a kind of plum, plum, jujube plum, Zezyphus jujube Lamarck. [id] ဗ္ဒဝ်။    ဗ္ဒဝ်ကြုက် (n) litchi, peach, apricot, round juicy fruit with downy yellowish red skin and a rough stone seed.    ဗ္ဒဝ်ဇာတ် (n) variety of jujube.    ဗ္ဒဝ်လမ္စံက်ကြုက် (n) damson.    မြၚ် (n) variety of plum."
Zigzag,ထေဝ်တဝေဝ်,(v) zigzag.
Zinc.  သောတ်။,သြောတ်,3 (n) zinc. [id.] သောတ်။
Zinc.  သြောတ်။,သောတ်,2 (n) zinc. [id.] သြောတ်။
Zingiber barbatum wallich,တၞံဂၟိတ်,(n) Zingiber barbatum Wallich.
Zingiber barbatum wallich,ဗၞဲ,"(n) ginger like herb, the rhizome of which smells like camphor, has a hot taste and is used medicinally, zingiber barbatum wallich, tuber used in medicine {species of ginger}."
Zingiber barbatum wallich,ဗၞယ်,"(n) ginger like herb, the rhizome of which smells like camphor, has a hot taste and is used medicinally, zingiber barbatum wallich, tuber used in medicine {species of ginger}."
Zingiberaceae,ကဴခၜုတ်,"(n) species of Zingiberaceae, Zingiberaceae, aromatic flowering herb used as a vegetable, Hitchenia glauca. [id] ပ္ကဴခၜုတ်၊ ပ္ကဴထ္ၜုတ်။"
Zingiberacene,ပ္ကဴထ္ၜုတ်,"(n) Zingiberacene, eromatic flowering herb used as a vegetable, Hitchenia glauca. [id] ပ္ကဴခ္ၜုတ်။"
Zinziber barbatum,ခမိတ်,2 (n) တၞံခမိတ် (n) Zinziber barbatum.
Zip-fastener,ဇြေပ်,"(n) [Eng.] zip-fastener, zipper."
Zip-fastener,တၟောံသရေတ်,"(n) zipper, zip-fastener."
Zip-fastener   ဇုက်သရေတ်၊  တၟောံသရေတ်။,zip,"n. ဗရုမကံတတ်အာ။  zipper,  zip-fastener (n)  ဇုက်သရေတ်၊  တၟောံသရေတ်။"
Zipper,ဇြေပ်,"(n) [Eng.] zip-fastener, zipper."
Zipper,တၟောံသရေတ်,"(n) zipper, zip-fastener."
Zircon,ဗၠဲ,"(n) zircon, pearl."
Zircon,ဗၠယ်,"(n) zircon, pearl."
Zircon.  မတ်မၞိက်မနွံအရံၚ်သာ်ဍီုဗု။,မတ်မနွံအရံၚ်သာ်ဍီုဗု,(n) zircon. [id] မတ်မၞိက်မနွံအရံၚ်သာ်ဍီုဗု။
Zodiac,စက်ရာသဳ,(n) zodiac.
Zodiac,ရာသဳ,စက်ရာသိ (n) zodiac.
Zodiacal mansion,ဒွာ,"2 (n) [P. dvaram] orifice, zodiacal mansion, door, aperture. [Cf.] ပၞော်(က်)။"
Zodiacal mansion.  ဒွာ။    ဒွာပိ  the three avenues of experience     ကာယဒွာ  the excretory orifices.    မနောဒွာ  eyes and ears. ဝစဳဒွာ  mouth.    ဒွာစှ်ၜါ  the twelve signs of the zodiac.    ဒွာတြဴ  the six sense-organs ,ဂွာ,"1 (n) orifice, aperture, zodiacal mansion. [id] ဒွာ။    ဒွာပိ (n) the three avenues of experience {ဇကု or ကာယ (n) body. လဟီု or ဝါစာ (n) speech. စိုတ် or မနော (n) mind.}    ကာယဒွာ (n) the excretory orifices.    မနောဒွာ (n) eyes and ears. ဝစဳဒွာ (n) mouth.    ဒွာစှ်ၜါ (n) the twelve signs of the zodiac.    ဒွာတြဴ (n) the six sense-organs {mind reckoned as the sixth}."
Zonal.  မပါ်ခြာလဝ်ဒေသ။,မဆေၚ်စပ်ကဵုအပိုၚ်အခြာဒေသ,(adj) zonal. [id] မပါ်ခြာလဝ်ဒေသ။
Zone.  ပြဘန်။,ပွဳပွိုၚ်,(n) {geog} zone. [id] ပြဘန်။
Zoo plankton,သတ်ဗကာံၜဳ,"(n) plant plankton, zoo plankton."
