English,Mon,Original_Definition
Label,ကနး,"လိက်တၞး (n) label, display bill. [Cf.] တရေက်၊ သၠ၊ လှ။"
Label,တၞး,"လိက်တၞး (n) label, display bill."
Label,လိက်တၞး,"(n) printed sheet, label, leaflet, display, bill."
Label display bill,ကၞး,လိက်တၞး (n) label display bill.
Label display bill,တဏး,လိက်တၞး (n) label display bill.
Labia pudenda,ဆိ,(n) labia pudenda.
Labial form of ကၠေတ်  to be close together,ပလေတ်,"1 (v) to be set, place close together.    တၞာဲဇာပလေတ် (n) fine-mesh sieve, labial form of ကၠေတ် (v) to be close together."
Labial form of ကၠေၚ်  to be oily,ပလေၚ်,"သြောံပလေၚ် (n) glutinous rice plant, paddy of varieties yielding glutinous rice, labial form of ကၠေၚ် (v) to be oily."
Labial form of ကၠံၚ်  to resound,ပလံၚ်,"2 (v) expletive in ပလေပလံၚ် (v) to make a noise, labial form of ကၠံၚ် (v) to resound."
Labial form.     မကြိုက်  testicle.  သလိုက်ခမှာဲလိၚ်။,ပရိုက်,"4 (n) ချေံပရိုက် (n) stallion.    ယဲပရိုက် (n) elephantiasis of scrotum, labial form.    [Der.] မကြိုက် (n) testicle. [id] သလိုက်ခမှာဲလိၚ်။"
Labium.  အရာမစွံဗီုသၟောန်ပါၚ်။  ဓရီုပါၚ်။  သၟန်ပါၚ်။  သၟောန်သၞိၚ်ဇကုမၞိဟ်ဗြဴ။,သၟောန်ပါၚ်,"(n) lips, labium. [id.] အရာမစွံဗီုသၟောန်ပါၚ်။ [Cf.] ဓရီုပါၚ်။ [Syn.] သၟန်ပါၚ်။ [id.] သၟောန်သၞိၚ်ဇကုမၞိဟ်ဗြဴ။"
Lablab bean,သတ်ဇုက်ဇၞော်,"(n) lablab bean, Dolichos lablab. [Var.] lignosus."
Laboratory,ခဒံပါ်ဓါတ်,(n) laboratory.
Laborious.  မအိုတ်ဓတ်။,မသ္ဒးကၠေံစိုတ်ဂစာန်လွဳပရာ,(adj) laborious. [id] မအိုတ်ဓတ်။
Labour,ကၠောန်,"(v) to make, fabricate, work, cultivate, labour."
Labour,ဇြဟတ်ကမၠောန်,"(n) labour, service, help assistance."
Labourer,ကလောန်,"ကောန်ကမၠောန် (n) labourer, workman."
Labourer,ကူလဳ,"(n) [Hindi] {obs} coolie, porter, labourer."
Labourer,ကောန်ကမၠောန်,"(n) labourer, work man."
Labourer,မၞိဟ်ကၠောန်ကမၠောန်သ္ဇိုၚ်သ္ဇိုၚ်,(n) labourer.
Labourer,မၞိဟ်လိၚ်ဒၞာပ်,"(n) labourer, {usually farm land} who hires himself out for the entire season."
Labyrinth,ဝၚ်္ကပဝ်,"(n) labyrinth, maze."
Lac,ကြေက်,"(n) cochineal, lac, sealing-wax. [Var.] ကြတ်။"
Lac insect,ကမ,"စၟကြေက် (n) lac insect, Coccus lacca."
Lac insect,ထၟကြတ်,"(n) lac insect, coccus. [id] ထၟကြေက်။"
Lace,ဇာ,"1 (n) lace, openwork embroidery. [id] ပ္ကဴဇာ။"
Lace,ဇၜိုတ်,"3 (n) lace, openwork embroidery. [id] ပ္ကဴဇာ။"
Lace,ဒဇာ,"1 (n) netting, lace, embroidery. [id] ဇာ။    ဒဇာ (n) sieve."
Laced shoe or boot,ဗတ်,1 (n) ဒၞပ်ဗတ် (n) laced shoe or boot.
Laced shoe or boot.  ဒၞပ်ဍေၚ်။,ခနပ်,ဒၞပ်ဗတ် (n) laced shoe or boot. [id] ဒၞပ်ဍေၚ်။
Laced shoe or boot.  ဒၞပ်ဍေၚ်။,ဒနပ်,ဒၞပ်ဗတ် (n) laced shoe or boot. [id] ဒၞပ်ဍေၚ်။
Laceration.  ဒဒှ်မသ္ကဵုစိုတ်ဂိက္တာန်။,ပွမသ္ကဵုဒှ်သရသရေန်,(n) laceration. [id] ဒဒှ်မသ္ကဵုစိုတ်ဂိက္တာန်။
Lacework,ပ္ကဴဇာ,(n) lacework.
Lack,ဂဒေက်,"(v) give something in return, turn back, falter, want, need, lack, require."
Lack,ဖျောံ,"(v) to set at nought, set at nought. [id] ဖျောံကၠေံ(အ်)။ labial form of ဟောံ(မ်) (v) loss, lack."
Lack,ဖျောမ်,"(v) to set at nought, set at nought. [id] ဖျောံကၠေံ(အ်)။ labial form of ဟောံ(မ်) (v) loss, lack."
Lack of agency or enthusiasm,ၜိုဟ်သြိုဟ်,"(v) to be cool, at ease, peaceful, comfortable, to be easygoing, come to an understanding, reach a settlement, {of war} come to an end, be relieved, have peace of mind, lack of agency or enthusiasm."
Lack of breeding,အရိုၚ်,"(n) wildness, [esp.] of human beings, primitive state, lack of breeding, uncultured person, uninitiated or native person, anything wild, untamed, undomesticated, something in its natural state, {of gem} uncut, raw."
Lack of brown,ခရီ,"ခရီအး (n) brown less, lack of brown."
Lack of propriety. ,မသက္ကုသိက္ခာ,(adj) lack of propriety. {of conduct}.
Lack of strength,ဗျာတ်,(v) lack of strength.
Lack of vigour,ဒဒှ်အစောံဇြဟတ်ဟွံမွဲ,"(n) inertia, lack of vigour, lethargy. [id] ဒဒှ်ဇြဟတ်မကှ်ဇတ်၊ ဒဒှ်မဟွံချဳဒရာၚ်။"
